app_id,content,score,text_clean,lexicon_score,label
com.tokopedia.tkpd,perdana pake paylater semoga bisa membantu saya dlm membeli produk,5,perdana pakai paylater moga bantu beli produk,-3,negatif
com.tokopedia.tkpd,loding putar putar terus semakin hari semakin ngga jelas.,2,loding putar putar terus makin hari makin enggak jelas,1,positif
com.tokopedia.tkpd,bagus sih tapi lebih bagus si toko Oren karena banyak promo gratis ongkir.. di Tokopedia gw selalu gk jadi beli karena liat ongkirnya mahal terus pindah ke si Oren karena banyak promo gratis ongkir... perbanyak promo gratis ongkir dong,3,bagus sih lebih bagus sih toko oren banyak promo gratis ongkir tokopedia gue selalu enggak jadi beli lihat ongkirnya mahal terus pindah sih oren banyak promo gratis ongkir banyak promo gratis ongkir dong,1,positif
com.tokopedia.tkpd,Aplikasi yg CS nya Payah!!! Slow Respon & bahkan tidak ada respon sama sekali. Saya sudah bertahun tahun menggunakan tokped sebagai pilihan utama dalam belanja online. Tapi untuk kali ini benar2 kecewa dan tdk akan menggunakan tokped lagi !!. Pelayanan sangat Buruk !!!,1,aplikasi cs nya payah slow respon bahkan tidak respon sama sekali tahun tahun guna tokped pilih utama belanja online kali benar kecewa tidak guna tokped layan sangat buruk,-26,negatif
com.tokopedia.tkpd,"Penarikan saldo tokopedia, eh kena proses review (hold) . Padahal lagi butuh banget dananya. Aplikasi lain gak seribet tokopedia... Paaayaaah",1,tari saldo tokopedia eh kena proses review hold padahal butuh banget dana aplikasi enggak seribet tokopedia paayaah,-3,negatif
com.tokopedia.tkpd,Ok' 👍,5,bagus,-4,negatif
com.tokopedia.tkpd,tll apk nyaa ajigg gabisa mesenn gajelass tll hapus aja ga guna,1,tll apk nya ajigg enggak bisa mesenn gajelass tll hapus enggak,-3,negatif
com.tokopedia.tkpd,ada promo tapi dipakai tulisannya tidak berlaku lanjutka tanpa promo. trus buat apa ditampilin itu promo?,1,promo pakai tulis tidak laku lanjutka promo terus buat apa ditampilin promo,2,positif
com.tokopedia.tkpd,"gw beli paket mahal mahal status dh nyampe malah g ada?, aneh",1,gue beli paket mahal mahal status dah malah enggak aneh,-4,negatif
com.tokopedia.tkpd,mantap,4,mantap,5,positif
com.tokopedia.tkpd,mending beli di shopee disini promonya tiba2 hilang waktu pesan,1,mending beli shopee sini promonya tiba hilang waktu pesan,-13,negatif
com.tokopedia.tkpd,saya kasih bintang 1 kecewa banget order hp tidak bisa chat Ama penjual plus pengiriman lama banget tidak ada nya fitur lokasi penjual mempersulit pembeli harga ongkir nya mahal kalah jauh Ama shoope Al hasil saya cancel semua,1,kasih bintang kecewa banget order hp tidak chat sama jual plus kirim lama banget tidak nya fitur lokasi jual sulit beli harga ongkir nya mahal kalah jauh sama shoope al hasil cancel semua,-5,negatif
com.tokopedia.tkpd,"pesan pertama ga dikirim, pesan lagi promonya ga berlaku. aplikasi apa ini",1,pesan pertama enggak kirim pesan promonya enggak laku aplikasi apa,-11,negatif
com.tokopedia.tkpd,kok bisa promo tidak berlaku??? kapan hari bisa. banyak bug ini aplikasi,1,kok promo tidak laku kapan hari banyak bug aplikasi,-9,negatif
com.tokopedia.tkpd,"di hp VIVO Z1 PRO.. setelah di UPDATE malah tidak bisa belanja.. alasan nya wilayah kecamatan,,kabupaten,,kota,,provinsi tidak terdeteksi.. mohon segera diperbaiki 🙏🙏",1,hp vivo pro update malah tidak belanja alas nya wilayah camat kabupaten kota provinsi tidak deteksi mohon segera baik,-20,negatif
com.tokopedia.tkpd,Toko pedia udah malas belanja bokap gue marah karena kasih kasih kado untuk nikah sepupu,5,toko dia malas belanja bokap gue marah kasih kasih kado nikah sepupu,-18,negatif
com.tokopedia.tkpd,"mana vocher plus yang 5000 nya, udah berlangganan kok gak ada",1,mana vocher plus nya langgan kok enggak,4,positif
com.tokopedia.tkpd,"mls bgt kl mw co metode pmbyrnnya lgsg ngarah ke bank, jd klo g sengaja kpnct co ssh di batalin, ditmbh lagi voucer diskon pngguna baru ny ilg, gliran maw co lg di hp stunya (udh dapet hrga murah) mlh sm seller nya ga dikirim, hangus smua voucer pengguna bru ku",1,mls banget kalo mau cowok metode pmbyrnnya langsung ngarah bank jadi kalo enggak sengaja kpnct cowok ssh batalin ditmbh voucer diskon pngguna baru nya ilg gliran mau cowok hp stunya hrga murah malah sama seller nya enggak kirim hangus semua voucer guna baru ku,-11,negatif
com.tokopedia.tkpd,murahan d shope pada murah 👎,2,murah shope murah buruk,-9,negatif
com.tokopedia.tkpd,"ada notif ""Halo tolong balas pesan saya"" padahal gk ada orang yang ngechat",4,notif halo balas pesan padahal enggak orang ngechat,-5,negatif
com.tokopedia.tkpd,bagus sih cuman aneh awal nya dapet diskon nih pas mau cekaut hilang promonya pdahal masih lama promonya aneh,4,bagus sih cuman aneh awal nya diskon nih pas mau cekaut hilang promonya padahal lama promonya aneh,-18,negatif
com.tokopedia.tkpd,jadikan aktor Teng Lin sebagai Brand Ambassador kalian dong.. please,5,jadi aktor teng lin brand ambassador kalian dong please,-5,negatif
com.tokopedia.tkpd,makin lama makin rusak ini app. buka chat aja cuman loading,1,makin lama makin rusak app buka chat cuman loading,-4,negatif
com.tokopedia.tkpd,mksh toped,5,terima kasih toped,1,positif
com.tokopedia.tkpd,"ada kelebihan di Banding si Oren soal tracking maps yang benar benar bergerak perlahan bukan stuck di transit b trus gerak lagi pas transit c, overall ini ngebantu bgt buat gua yang suka bolak balik cek paket udah sampe mana😹",5,lebih banding sih oren soal tracking maps benar benar gerak perlahan bukan stuck transit b terus gerak pas transit sih overall bantu banget buat gua suka bolak balik cek paket mana,-20,negatif
com.tokopedia.tkpd,"TokopediaCare tolol, belanja estimasi tgl 18 datang paket a, disuruh komplain tgl 20🤔 mending belanja di Shopee blom estimasi tagl datang a paket,,komplain sdh di tanggapi sama pihak aplikasi a, klo di TokopediaCare nunggu setelah dua hari klo paketnya gak datang baru bisa komplain itu ibaratnya polisi nunggu korban mati baru datang buat di periksa 🤪buruk kinerja pihak Tokopedia a 😩😩😩",1,tokopediacare tolol belanja estimasi tanggal datang paket a suruh komplain tanggal mending belanja shopee estimasi tagl datang a paket komplain tanggap sama pihak aplikasi a kalo tokopediacare tunggu hari kalo paket enggak datang baru komplain ibarat polisi tunggu korban mati baru datang buat periksa buruk kerja pihak tokopedia a,-52,negatif
com.tokopedia.tkpd,tidak nyaman jelek,1,tidak nyaman jelek,-6,negatif
com.tokopedia.tkpd,"pake dipisah ada seller center segala. mana ribet banyak bug, potongan biaya gede. putusan siapa ini woy pengelolanya bodoh. dulu udah bener simple, skrg ribet. nyusahin cuihhh",1,pakai pisah seller center segala mana ribet banyak bug potong biaya gede putus siapa woy kelola bodoh dulu benar simple sekarang ribet susah cuihh,-29,negatif
com.tokopedia.tkpd,gak bisa masuk woi,1,enggak masuk woi,-3,negatif
com.tokopedia.tkpd,Sorry gua uninstall lagi. notifnya ganggu banget,1,sorry gua uninstall notifnya ganggu banget,-10,negatif
com.tokopedia.tkpd,iklan nya sangat mengganggu,1,iklan nya sangat ganggu,-9,negatif
com.tokopedia.tkpd,good,5,good,5,positif
com.tokopedia.tkpd,bagus sekali tokped,5,bagus sekali tokped,-5,negatif
com.tokopedia.tkpd,baru mulai menggunakan,4,baru mulai guna,2,positif
com.tokopedia.tkpd,terbaik,5,baik,-1,negatif
com.tokopedia.tkpd,Diskon harian tokopedia plus udah ga ada. mana belanja seringnya ga dikirim. Parah,1,diskon hari tokopedia plus enggak mana belanja sering enggak kirim parah,1,positif
com.tokopedia.tkpd,kecewa voucher plus 5k sudah tdk ada lagi,1,kecewa voucher plus tidak,0,negatif
com.tokopedia.tkpd,mau login affiliate tapi lag,2,mau login affiliate lag,-1,negatif
com.tokopedia.tkpd,"banyak promonya ,makasi tokopedia semoga sukses selalu",5,banyak promonya terima kasih tokopedia moga sukses selalu,2,positif
com.tokopedia.tkpd,sudah tidak ada lagi diskon plus. cuman diskon 5%. tapi bayar jadi plus nya mahal 😅,1,tidak diskon plus cuman diskon bayar jadi plus nya mahal,-1,negatif
com.tokopedia.tkpd,nga pernah belanja pakai kridit paylater akhirnya setiap beli HP baru cash langsung ke counter mantap 👍,1,enggak pernah belanja pakai kridit paylater akhir beli hp baru cash langsung counter mantap bagus,0,negatif
com.tokopedia.tkpd,Kesalllllllll!!!!!... unistal jadinya,1,kesall unistal jadi,-2,negatif
com.tokopedia.tkpd,"izin banget ni ya , ini aplikasi gda kasih peringatan seller yg ga mau bales pertanyaan kita kah? dia nya bales tapi ga nyambung dari yang ku pertanyakan serasa ngomong sama ai",1,izin banget nih aplikasi enggak ada kasih ingat seller enggak mau balas tanya nya balas enggak sambung ku tanya serasa omong sama ai,-29,negatif
com.tokopedia.tkpd,aplikasi apa ini buat alamat aja kagak bisa di suruh isi kode pos tetep ngga bisa gimana sih,1,aplikasi apa buat alamat kagak suruh isi kode pos tetap enggak bagaimana sih,-16,negatif
com.tokopedia.tkpd,"voucher tidak bisa digunakan , lama menunggu pengiriman , eh sering di batalkan , parah",2,voucher tidak guna lama tunggu kirim eh sering batal parah,-12,negatif
com.tokopedia.tkpd,"promonya banyakan shopee, padahal udah collab sama tiktok tapi ngasi promonya dikit",1,promonya banyak shopee padahal collab sama tiktok asih promonya dikit,-5,negatif
com.tokopedia.tkpd,banyak voucer diskon sama voucer gratis ongkir,5,banyak voucer diskon sama voucer gratis ongkir,6,positif
com.tokopedia.tkpd,"udah mah tiap belanja di Tokopedia dan tiktok shop pakai gopay pula , pengajuan Tokopedia card nya nggak di acc!",1,mah tiap belanja tokopedia tiktok shop pakai gopay aju tokopedia card nya enggak acc,-6,negatif
com.tokopedia.tkpd,tidak bisa cod kecewa bgt,2,tidak cod kecewa banget,-4,negatif
com.tokopedia.tkpd,tidak bisa buka aplikasi. setiap d buka kembali ke menu awal,1,tidak buka aplikasi buka menu awal,-17,negatif
com.tokopedia.tkpd,sip dan mudah moga lncar n membantu,5,sip mudah moga lncar n bantu,-4,negatif
com.tokopedia.tkpd,tidak dapat diupdate,3,tidak diupdate,-5,negatif
com.tokopedia.tkpd,"setiap pesan dibatalkan, marketplace apaan ini",1,pesan batal marketplace apa,-11,negatif
